time [s],Cell Voltage [V],SOC [%]
490,3.491,9.397775221
491,3.491,9.416954354
492,3.491,9.436133487
493,3.491,9.45531262
494,3.491,9.474491753
495,3.491,9.493670886
496,3.491,9.512850019
497,3.491,9.532029152
498,3.491,9.551208285
499,3.491,9.570387418
500,3.491,9.589566552
501,3.491,9.608745685
502,3.491,9.627924818
503,3.491,9.647103951
504,3.491,9.666283084
505,3.4945,9.685462217
506,3.498,9.70464135
507,3.4965,9.723820483
508,3.495,9.742999616
509,3.4985,9.76217875
510,3.502,9.781357883
511,3.502,9.800537016
512,3.502,9.819716149
513,3.5,9.838895282
514,3.498,9.858074415
515,3.4995,9.877253548
516,3.501,9.896432681
517,3.501,9.915611814
518,3.501,9.934790947
519,3.5015,9.953970081
520,3.502,9.973149214
521,3.502,9.992328347
522,3.502,10.01150748
523,3.502,10.03068661
524,3.502,10.04986575
525,3.502,10.06904488
526,3.502,10.08822401
527,3.502,10.10740315
528,3.502,10.12658228
529,3.504,10.14576141
530,3.506,10.16494054
531,3.508,10.18411968
532,3.51,10.20329881
533,3.506,10.22247794
534,3.502,10.24165708
535,3.5035,10.26083621
536,3.505,10.28001534
537,3.5045,10.29919448
538,3.504,10.31837361
539,3.505,10.33755274
540,3.506,10.35673188
541,3.506,10.37591101
542,3.506,10.39509014
543,3.5075,10.41426928
544,3.509,10.43344841
545,3.5105,10.45262754
546,3.512,10.47180667
547,3.5105,10.49098581
548,3.509,10.51016494
549,3.5095,10.52934407
550,3.51,10.54852321
551,3.5115,10.56770234
552,3.513,10.58688147
553,3.513,10.60606061
554,3.513,10.62523974
555,3.513,10.64441887
556,3.513,10.66359801
557,3.513,10.68277714
558,3.513,10.70195627
559,3.513,10.7211354
560,3.513,10.74031454
561,3.513,10.75949367
562,3.513,10.7786728
563,3.513,10.79785194
564,3.513,10.81703107
565,3.513,10.8362102
566,3.513,10.85538934
567,3.513,10.87456847
568,3.513,10.8937476
569,3.513,10.91292674
570,3.513,10.93210587
571,3.5175,10.951285
572,3.522,10.97046414
573,3.5175,10.98964327
574,3.513,11.0088224
575,3.5175,11.02800153
576,3.522,11.04718067
577,3.5175,11.0663598
578,3.513,11.08553893
